category,,Unnamed: 0,category,url,question
aritmia,909,909,aritmia,/komunitas/topic/perut-kembung-kadang-sesekali-disertai-hentakan-di-dada-hentakan-denyut-jantung,"Selamat pagi dok perkenalkan nama saya diki usia 33 thn. Saya mempunyai keluhan yg saya rasakan sudah lama pertama sy rasakan pada tahun 2013. Sesekali suka ada hentakan di dada serasa seperti hentakan di jantung..keluhan ini hilang timbul...kadang timbul kadang gak pernah timbul sama sekali. Biasanya kambuhnya berbarengan dengan perut kembung. Pernah konsultasi ke dokter katanya asam lambung. Karena belum sembuh sembuh itu yg kadang bikin saya cemas. Sy sudah mulai olah raga rutin tiap pagi seperti jalan pagi dan joging. Pernah juga pas olahraga hentakan dada tersebut sesekali kambuh disertai perut agak kembung. Mohon pencerahannya dok ! Terimakasih sebelumnya. Salam - diki rusdianto 33 thn
"
aritmia,2303,2303,aritmia,/komunitas/topic/kram-dada-hingga-ketiak,"Hallo dokter saya mau nanya kadang kadang ini saya kram otot dada hingga payudara sayaa sakit jgara gara saat berboncengan motor tiba tiba ngerem mendadak dan saya merasa dada saya sakit hingga ketiak kanan dan kiri saya, kenapa yah apa ada kelainan... terimakasih."
aritmia,2308,2308,aritmia,/komunitas/topic/apa-obat-untuk-jantung-4,"Dok saya Mau Bertanya, KNPJANTUNG saya berdetak Tidak Beraturan seperti Pindah-Pindah.😢😧

AWALNYA Saya melakukan OLAHRAGA Berat LaLu saya meminum ES terlalu bnyk padahal saya masih sangat CEPAT,
APAKAH BAHAYA??
SAYA TIDAK MW DI OPERASI DOK😯😥😧😷
SAYA MW JADI POLISI"
aritmia,475,475,aritmia,/komunitas/topic/antimo-campur-panther-penyebab-jantung-berdetak-kencang,"Assalamualaikum dokter yg terhormat,,,Saya ingin bertanya mengenai obat antimo yg di campur minuman bersoda (panther), apakah dampak dri kejadian tersebut bisa di atasi ? Soal nya adek saya mengalami jantung berdetak kencang sehingga dia lemas tak berdaya,,,,, apakah kejadian seperti itu bisa di atasi atau tidak dok ? Dan mohon beri solusi agar adek saya tidak mengalami jantung yg berdetak kencang.Terima kasih
"
aritmia,2254,2254,aritmia,/komunitas/topic/detak-jantung-25,"Saya perempuan 20 tahun kemaren lusa tiba tiba saya merasa seperti darah saya dari atas turun ke jantung kemudian biasa saja lalu terasa lagi kemudian begitu terus sampai sekarang. Sekiranya kenapa ya? Saat saya pegang jantung saya, rasanya seperti detak biasa kemudian saat darah terasa turun jantung saya terasa dug dengan keras tiba-tiba. Saya nanti jawabannya. Terima kasih"
aritmia,2287,2287,aritmia,/komunitas/topic/irama-jantung-tidak-beraturan,"Dok umur saya 20 thn udah 4 bulan terakhir saya kena penyakit lambung yg micu asam lambung saya naik terus tapi 2 bulan terakhir saya kena gangguan irama jantung saya sudah ekg hasilnya synus arithmia tapi akhir akhir ini saya rasa detaknya tambah tidak beraturan seperti ada skip beat , detak tambahan dan detak yang sangat kencang sekali di tengah irama normal biasanya terjadi setelah saya duduk lalu berdiri apa solusinya ya dok?"
aritmia,882,882,aritmia,/komunitas/topic/jantung-187,"Dok sejak 3 hari terakhir ini jantung saya sering berdebar tiba² itu knp ya dok? Padahal saya sering olahraga
"
aritmia,432,432,aritmia,/komunitas/topic/jantung-berdebar-cepat-dan-dada-terasa-berat170b0d,"Mau tanya dok, kalau misalnya jantung berdebar cepat secara tiba-tiba kenapa ya? kadang dada saya juga terasa berat, kadang juga tangan sampe tremor.
kalau dibilang sakit enggak, cuman rada risih dan Datangnya juga gak selalu tentu.
terimakasih..
"
aritmia,494,494,aritmia,/komunitas/topic/aritmia-18,"Halo Dokter
Saya saya terkena Aritmia, ini juga berdasarkan identifikasi dokter disalah satu rumah sakit ketika saya periksa tahun lalu bahwa saya terkena Aritmia. saat itu saya diberi obat 3 butir, dan detak jantung saya kembali normal. setahun berlalu tepat nya seminggu yang lalu detak jantung saya kembali TIDAK seirama. apakah ini karena Aritmia saya kambuh? apa penyebab nya? hanya saja detakan nya jauh lebih agak tenang (tidak seperti tahun lalu, sangat berdebar dan terkadang berdetak pelan, sangat mengganggu). sekarang detakan nya kadang ""menghentak"" namun tidak kencang, tapi sangat terasa kalau tidak ""seirama"".
adakah rekomendasi obat yang mesti saya konsumsi, dan pencegahana nya.
mohon penjelasan nya.

Thanks
"
aritmia,2291,2291,aritmia,/komunitas/topic/jantung-98,"Mlm dok sy umur 17tahun. Sy mengalami jantung sy terasa berdebar dan beberapa bulan ini saat mau tidur denyut jantung sy terasa keras dan kencang hingga terasa denyutan nya di kepala dok, dan sampai berdentum di kuping. Sy emg perokok dan suka kopi dok. Gmn infonya dok ini menggangu sy untuk tidur, makasih dok."
