,Unnamed: 0,Unnamed: 0.1,category,url,question
1001,1001,2739,serangan-jantung,/komunitas/topic/apakah-ini-tanda-serangan-jantung,"asmualaikum,  nama saya riin, sudah 2hafi ini saya mengalami nyeri dada hingga sakit sekali seperti jantung saya tertekan, hingga terasa berhenti berdetak dan membuat saya sulit bernafas serta tubuh saya menjadi kaku dan sulit bergerak. sakitnya sangat lama. namun jika saya mulai terasa seperti itu saya akan secepat mungkin berdiri dan berjalan. haruskah saya pergi ke ?"
1266,1266,1615,stroke,/komunitas/topic/cara-mengatasi-gejala-step-pada-bayi-susu-yg-cocok-untuk-penderita-stroke,"ass,   .  kemarin masuk rumah sakit karena dia mengalami step . solusi buat anak bayi yg umur 8 bulan apa .
 satu lagi  . orang tua saya ada bengkak di leher nya. terus di operasi. sakit nya itu tiroid . tapi efek nya sampai ke stroke ringan .sekarang jalan pun kaki nya susah buat jalan ."
503,503,2148,gagal-jantung,/komunitas/topic/stadium-pada-gagal-jantung,". . apakah orang yg mengalami sakit jantung pada stadium 4 bisa berkurang menjadi stadium 3, stadium 3 menjadi stadium 2, stadium 2 menjadi stadium 1, dan stadium 1 menjadi sembuh total? jika bisa, bagaimana cara pengobatannya? mohon penjelasannya. "
756,756,167,hipertensi,/komunitas/topic/hipertensi-213,"penderita darah tinggi boleh minum obat neurobion
"
459,459,418,gagal-jantung,/komunitas/topic/penyakit-jantung-abang-saya-yang-baru-meninggal,",
abang saya baru saja meninggal 3 hari yang lalu. penyebabnya kata  yang merawat adalah gagal jantung .
nah  ,  . kira-kira penyakit jantung yang ia alami apakah ada hubungannya dengan penyakit seperti masuk angin, buang air dan lain-lain ? siang itu memang dia mengeluhkan kepala pusing , buang air , muntah , dan dada sesak. kami kira dia masuk angin , jadi kami kasih tolak angin dan lain-lain. kemudian dia mengeluhkan , kalau tangannya itu dan jari-jarinya sulit digerakkan ( dia berpikir kena stroke ).
karena masih mual-mual, saya akhirnya pergi untuk ambil salonpas , dan teman saya menjaga abang saya. lalu saya pulang , abang saya sudah tidak ada. ka sebelum meninggal itu , dia kejang-kejang luar biasa .
sudah dibawa di rumah sakit, dilakukan cpr, namun tidak terselamatkan.
beliau memang memiliki riwayat darah rendah.
dari semua ini, apakah ada penjelasan yang saling berkaitan antara gejala-gejala yang disebutkan diatas ?
..
"
966,966,925,serangan-jantung,/komunitas/topic/apa-obat-tekanan-darah-tinggi-2," sblmnya aku mau cerita tentang riwayat penyakit aku, aku dulu pernah kena kelenjar tbc, kelenjar aku sudah diangkat ,tp aku blm pernah minum obat unt tbcnya,aku lebih memilih untuk minum mastin secara rutin,suatu saat aku ngerasa dadaku selalu sakit dan sesak ,dan belakang dadaku juga sakit, kepalaku pusing banget ,dan kadang kadang dibagaian2 tertentu suka berdenyut kencang Â , tp pada saat aku berobat ke  dan sudah cek darah dan ronsen  bilang ,tbcku sudah sembuh aku hanya stres aja,klo menurut  gmna ??
apa aku harus berobat ditempat lain??
Â 
terimakasih  sblmnya
"
31,31,897,aritmia,/komunitas/topic/detak-jantung-bayi-cepat,",, ganggu
 tanter,,saya punya adik perempuan usia nya masih 7 bulan, detak jantung adik saya ko cepat ? nafas nya kalau tidur juga cepat ,lebih cepat dari orang dewasa,,apa kecepatan detak jantung bayi dengan orang dewasa berbeda ?
mohon jawaban nya ter
tetimakasih
"
1222,1222,1069,stroke,/komunitas/topic/stroke-bukan-dari-komplikasi-penyakit-lain,",,  tentang penyakit stroke suami saya,,sekitar satu setengah tahun yang lalu suami saya terkena stroke,ga lebih dari setengah jam saya bawa suami ke rumah sakit,dan langsung ditanggani ,pada saat itu saya mengira suami hanya terkena stroke ringan tapi setelah dirawat 10 hari di rs saya tidak melihat adanya tindakan dan yang signifikan dari pihak rs dan kondisi suami juga tidak banyak berubah,pada awal dirawat  mendiagnosa suami terkena stroke akut disebelah kanan tapi tidak secara pasti menyebutkan apakah karena penyumbatan atau pecah pembuluh darah diotak,yang saya lihat  seperti ragu dengan diagnosanya dikarenakan tidak ada penyakit disuami saya yang bisa memicu stroke,tekanan darah normal,gula normal,dan suami saya masih berumur 41 tahun,sekarang sudah lebih dari satu setengah tahun kondisi tangan dan kaki kanan suami saya masih belum bisa digerakan,yang mau saya kan adalah apakah benar bila dalam waktu dari kurang 7 jam setelah serangan stroke dapat disembuhkan dengan suntikan bila langsung dibawa ke rs? dan menurut  stroke suami saya dikarenakan apa?karena bukan dari komplikasi penyakit lain,terimakasih
"
432,432,2155,gagal-jantung,/komunitas/topic/jantung-57,"..sy mau konsultasi..
sy mengalami pembengkakan jantung akibat tekanan darah yg tdk normal. bagaimana penanganannya? sejauh ini sy diberikan obat amlodipin 10ml.

trima kasih sebelumnya"
1123,1123,1100,stroke,/komunitas/topic/posisi-untuk-pasien-stroke," dktr, apakah posisi elevasi kepala 30derajat dapat menurunkan tekanan darah pd psien stroke? penjelasan secara teorinya seperti apa?
"
