,Unnamed: 0,Unnamed: 0.1,category,url,question
629,629,526,hipertensi,/komunitas/topic/hipertensi-149," , sy mau .  menderita hipertensi. sudah di bawa ke  dan diberi obat penurun hipertensi. tapi  kok tekanan darahnya tidak kunjung normal? padahal sudah rutin minum obat & mengkonsumsi banyak buah2an (timun, semangka, dll). malah badannya terasa lemas, pusing & penglihatan kabur. terimakasih. w ðð"
669,669,1530,hipertensi,/komunitas/topic/kombinasi-captopril-dan-corsaneuron,", 1 bulan yang lalu saya periksa ke puskesmas dan tensi saya 180/120 dan diberikan obat captopril 25mg dan corsaneuron. dulu pernah diberikan kombinasi captopril dan furosemide. yang saya kan lebih baik mana dari 2 kombinasi obat tersebut?"
25,25,906,aritmia,/komunitas/topic/dada-terasa-ditekn-detak-jantung-tdk-beraturan-sesak-nafas-disertai-batuk," saya wanita berusia 24 tahu. sejak 5 tahun terakhr saya sering mengalami detak jantung yang tidak normal. mulanya detak jantung normal seperti biasa kemudian akan melambat berhenti beberapa detik lalu berdetak kembali dengan hentakan yg kencang disertai batuk dan sesak. jika sudah bgtu dada saya terasa ditekan dan nafas menjadi pendek hanya sebatas leher. menarik nafas panjangpun hanya dapat sedikit.kemudian terkadang saya menjadi pusing, perut terasa kembung, mual bahkan muntah. gejala yg saya alami ini semakin sering kambuh selama setahun ini. kira kira terdapat penyakit serius atau tidak ?
"
88,88,452,aritmia,/komunitas/topic/dada-trasa-aga-sesak," dada trasa aga sesak tapi tidak batuk, 3hari yang lalu kpala saya aga pusing lalu muntah stelahitu dikroki sama istri langsung aga mending tapi trasa aga sesak sampai sekarang dan jantung berdegupnya aga kencang.
"
395,395,2141,gagal-jantung,/komunitas/topic/pengaruh-jantung-bocor-dengan-hipertensi,", sy pengidap jantung bocor, selalu kontrol setiap 2 bulan sekali & cek tekanan darah, & hasilnya normal (terkadang hipotensi), sekalinya tinggi jg msh batas wajar. tapi  kepala sy selalu pening setiap sehabis makan daging kambing? apakah ini hnya sugesti atau memang sy mengidap hipertensi? apakah ada korelasi dgn kebocoran jantung dan tekanan darah tinggi?"
685,685,18,hipertensi,/komunitas/topic/dosis-captoprilee2b1b,"permisi, . saya berusia 21th, 3minggu yang lalu  menganjurkan konsumsi captopril 12,5mg sudah habis beberapa hari yang lalu. saya baru saja membaca tentang kaplet captopril. disini saya temukan dosis hipertensi 25mg lebih, sedangkan untuk gagal jantung hanya 6,5-12,5mg. dosis hipertensi lebih besar ketimbang dosis untuk gagal jantung? apakah hipertensi lebih berbahaya ketimbang gagal jantung?atau mungkin ada hal lain di setiap dosisnya?, dan mohon maklum, saya hanya orang awam yang ingin tau. , .
"
1049,1049,1729,stroke,/komunitas/topic/kebas-di-kaki-kanan-pasca-stroke,", 6 bulan lalu saya terkena stroke (pecah pembuluh darah) sekarang semua sudah normal, cuma kaki kanan telapak terasa kesemutan dan kalau menginjak lantai terasa sakit seperti kesemutan dan kebas. apakah ada terapi dan obat yang harus saya konsumsi. sekarang masih rawat jalan  spesialis saraf. dan konsumsi obat. "
975,975,2742,serangan-jantung,/komunitas/topic/apakah-asma-bisa-di-sembuhkan-atau-tidak, saya kaya terasa sesak  terus kadang dada saya suka sakit kalo di tekan apakah saya penderita asma
356,356,2229,gagal-jantung,/komunitas/topic/obat-untuk-hepatitis-b-apa-bener-dgn-temulawak-meniran,"bapak saya skrg lg d rawat di rs
kepala pusing
mual tp tdk muntah
perut kembung
susah bab
badan lesu
nafsu makan kurang
kaki bengkakapa ini hepatitis b yaapa boleh selain pakee resep (injeksi) juga minum temulawak meniran"
146,146,435,aritmia,/komunitas/topic/denyut-nadi67edde,"  ?  denyut nadi bisa di pakai untuk menentukan beban kerja fisik, tingkat kesehatan, tingkat kebugaran dan tingkat stress?
"
1281,1281,1148,stroke,/komunitas/topic/saraf-lidah-2,", , ketika menjulurkan lidah, lidah saya dominan mengarah ke kiri. bicara kadang2 saya spontan celat dan salah mengucap kosakata. kita saya berucap r dg intonasi yang panjang, kalau saya perhatikan lidah sebelah kanan yg lebih aktif. lalu ibu jari tangan kanan, dan kiri kadang bergerak sendiri tanpa sy menggerakkan. kira2 apakah itu ter? matur sembah nuwun atas jawaban dari 
"
45,45,472,aritmia,/komunitas/topic/detak-jantung-42," , detakan jantung saya tiba-tiba kuat dan terasa sangat menyakitkan, seperti ada sesuatu yang akan meledak dari tubuh saya.. memang semenjak tadi, saya merasakan sakit kepala.. mohon solusin.. 
"
330,330,408,gagal-jantung,/komunitas/topic/pembengkakan-pada-seluruh-tubuh," ,  tan mamah saya tangan dan kaki membengkak  secara tiba tiba , pipinya pun membengkak dan kata mamah saya dibagian pinggul sebelah kanan kaya ada yg ganjel itu   ?
"
160,160,2417,aritmia,/komunitas/topic/jantung-8,", akhir"" ini ketika saya menaiki tangga jantung saya berdebar keras hingga terasa tanpa dipegang dan tengkuk leher juga demikian, juga nafas terasa ngos""an. gejala ya itu ? "
306,306,2172,gagal-jantung,/komunitas/topic/sering-kaget-apakah-sakit-jantung-lemah,",,  kira"" umur 37th.. saring kaget kadang juga nyeri didada jika terlalu terkejut..apa beliau terkena jantung lemah ..apa bahaya.nya dan apa antisiapasinya atau mungkin dianjurkan minum obat apa gitu ... karna cemas dan takut jika terkena jantung lemah ...mohon bantuannya"
584,584,371,hipertensi,/komunitas/topic/pathway-pasien-hipertensi-terjatuh-dan-mengalami-penurunan-kesadaran," , saya sintya. ,  pada pasien yang tekanan darahnya tinggi (hipertensi) setelah terjatuh akan mengalami penurunan kesadaran? bagaimana patofisiologinya ya? mohon dijawab, terimakasih:)
"
106,106,490,aritmia,/komunitas/topic/sesak-dan-nyeri-dada-3,",
saya rinni, usia 21th, mahasiswi,  saya sering merasa dada saya nyeri dan sesak, napas saya jadi berat dan pendek, tapi pengukuran detak jantung saya normal kisaran 60-80bpm, ini sering berulang antara jam 9 pagi atau jam 1 siang (random), saya rasa gejala ini saya alami sejak 2 th terakhir tapi biasanya hanya krn kalau fisik saya kelelahan/terkejut/tekanan stress krn tugas, tapi akhir2 ini sekitar sebulan ini terjadinya saat saya sedang santai juga . istirahat saya juga bagi saya cukup, saya tidur 5-6 jam perhari, tidak merokok, tapi keluarga saya ada riwayat hipertensi.
apakah gejala ini perlu saya konsultasikan ke ? kalau iya, saya harus ke  apa?
"
1161,1161,1411,stroke,/komunitas/topic/stroke-89,"... ... sudah terkena stroke lamanya 2 tahun kurang...awal2 badan bagian kiri tidak berfungsi..dan masih bisa bicara dan berjalan 
namun setengah setengah tahun dia terjatuh dan tidak bisa berjalan ...kamipun melakukan terapi dan alhamdulilah sekrg sudah bisa berjalan...tpi baru 1 bulan ini  dia kembalii depresi dan menyebabkan  tidak bisa bicara dan tidak bisa berjalan lagi .. karna tidak bisa bicara..menelan makanan pun susah ..apakah mempengaruhii ...dia selalu teriak seperti ingin berkata sesuatu dan terkdang menangis ..macam anak kecil ..mohon bantuan
"
606,606,1435,hipertensi,/komunitas/topic/hypertensi-5, . sya penderita hypertensi sya pernah membaca beberapa artikel yg menyatakan salah satu penyebab impotensi adalah penggunaan obat2an anti hypertensi. nah peran.a apakah betul obat2an anti hypertensi bisa menyebabkan impotensi. trimakasih atas jawaban.a
790,790,2529,serangan-jantung,/komunitas/topic/nyeri-dada-87,. bbrp hari ini kyk ada yg aneh sm dada bgian tengah. kyj ada yg ganjel gtu tiap batuk sama setelah mkan agak nyeri. kl ditekan jg sakit. sakitnya menjalar ke punggung blkg. mau nafas jg agak susah tp bukan sesak. ulu hati jg sakit jika ditekan . itu knp ?
434,434,827,gagal-jantung,/komunitas/topic/perbedaan-stres-sama-penyakit-jantung,"   ni. apa perbedaan gejala stres sama gejala gagal jantung . soalnya saya search di google gejalanya ada yang sama. seperti nafsu makan berkurang, jantung berdebar, cemas, melakukan aktifitas serasa tidak semangat,pusing,susah tidur. itu saja yng saya lihat itu sama. soal nya saya mengalami gejala tersebut .  kalau peran saya agak panjang. soalnya saya takut . mohon dijawab ."
