,category,url,question
0,penyakit-jantung-bawaan,/komunitas/topic/saya-ingin-tau-maksut-yang-di-tuliskan-seorang-dokter-di,"Situs. SolitusAtrio-ventricular connection. ConcordanceVentriculo-arterial connection. DiscordancePulmonary vein. All PV to LA?Chambers. Balanced ventricleInteratrial septum. IntactInterventricular septum. VSD inlrt meluas ke outlet 23mm L to R shuntMitral valve. NormalTricuspid valve. NormalAorta. Ao keluar dari RV, Ao di kanan PAPulmonary Artery. Small PAAortic Arch. Left archTapse . 1,2 cm
"
1,penyakit-jantung-bawaan,/komunitas/topic/pfo-jantung,"Siang,mau tanya apakah pfo jantung bayi ukuran dibawah 1 cm atau 0,16 bisa menutup?
"
2,penyakit-jantung-bawaan,/komunitas/topic/kondisi-bayi-menangis-sampai-bibir-keunguan,"Dok anak sy baru usia 10 bln mau nginjak 11 bln.. Terkadang kondisi badan nya selalu berkeringat terus walaupun dalam keadaan cuaca dingin dan juga kalo nangis bibir nya selalu sampai keunguan.. Terkadang detak jantung nya jg berdetak gk beraturan.. Mohon penjelasannya dok. Terima kasih
"
3,penyakit-jantung-bawaan,/komunitas/topic/mencegah-pjb--,"Dokter saya mau promil lagi sebaiknya vitamin apa yang bisa saya konsumsi unt menjegah PJB?krn kemarin anak saya usia 5hr meninggal krn PJB,terimakasih
"
4,penyakit-jantung-bawaan,/komunitas/topic/apakah-pengobatan-penyakit-jantung-bawaan-bisa-ditanggung-bpjs--bagaimana-cara,"Saya mempunyai ponakan sudah berumur 2 th lebih namun belum bisa berbicara maupun berjalan. Pertumbuhannya terhambat tidak seperti teman sebayanya. Lahir langsung dibawa kerumah sakit oleh bidan. Kurang paham diagnosanya jelasnya. Intinya jantung bawaan. Mau dibawa ke rumah sakit khusus jantung atau mau diperiksa lebih lanjut tidak ada biaya. Apakah penyakit tsb bisa sembuh dok?
"
5,penyakit-jantung-bawaan,/komunitas/topic/penyakit-jantungf92ae6,"Dokter, saat ini saya berusia 21 th . Dan baru terdeteksi bahwa saya menderita PJB ASD dan dokter saya bilang ini tidak bisa disembuhkan . Kira-kira kenapa tidak bisa disembuhkan ya dok ??
"
6,penyakit-jantung-bawaan,/komunitas/topic/apakah-pjb-asd-bisa-disembuhkan--,"Dokter, saat ini saya berusia 21 th . Dan baru terdeteksi bahwa saya menderita PJB ASD dan dokter saya bilang ini tidak bisa disembuhkan . Kira-kira kenapa tidak bisa disembuhkan ya dok ??
"
7,penyakit-jantung-bawaan,/komunitas/topic/tangan-anak-membiru-saat-mandi-dan-agak-sesak-,"Pagi dok sy ingin menanyakan dan telapak kaki anak saya selalu menjadi berwarna biru saat mandi padahl air yg sy gunakan air hangat suam suam kuku , itu krna kenapa ya ? Terus kalau dia sedng bermain2 lalu kegirangan tiba tiba dia sulit bernafas sprt sesak nafas itu apa penyebabnya dan sy rasa berat badannya menurun mhn jawabannya dok
"
8,penyakit-jantung-bawaan,/komunitas/topic/apa-itu-penyakit-pfo-dan-apa-saja-dampak-dari-pfo-,"selamat pagi dok, saya ingin bertanya jika bayi saya yang baru lahir dilakukan echo dan hasil nya : PFO, apakah itu termasuk komplikasi dari penyakit gawat napas/ RDS? terimakasih dok,
"
9,penyakit-jantung-bawaan,/komunitas/topic/wajah-bayi-3-bulan-dingin-dan-tiba-tiba-menguning-,"Saya mau tanya dok? Bayi saya usianya 3 bulan udah 2 malam ini tiba tiba wajahnya (pipi) dingin sekali dan seluruh wajah nya menguning pucat, tapi setelah menyusu bayi wajahnya balik lagi putih merah gt dok, ntr kalau ditaruh lagi di kasur nya nggak lama kuning lagi dok3 hari ini juga setiap malam apabila kaget dr tdrnya lalu tdr lagi nafas nya jd seperti sesak dok..
"
10,penyakit-jantung-bawaan,/komunitas/topic/wajibkah-operasi-jantung-utk-kondisi-skrg-,"sore,dok. saya ingin bertanya, saya memiliki seorang teman yang memiliki kelainan jantung bawaan. dia pernah mengalami muntah darah 3x dlm 2 hari terakhir. apakah sudah diwajibkian utk operasi,dok?
"
11,penyakit-jantung-bawaan,/komunitas/topic/bocor-jantung-pada-anak,"Dok anak saya waktu di rawat di salah satu Rs swasta di bekasi .dsa anak saya bilang ada kebocoran di jantungnya .tapi saya di suruh ke spesalis jantung anak untuk memastikannya .karena tidak semua Rs ada dokter jantung anak .jd saya harus mencari dokter yang jaraknya lumayan jauh .dan sekarang lagi banyak orang yang terinveksi Corona .jd saya tunda buat ke dokter jantung anak .tapi dok semakin kesini anak saya muncul keluhan yang sangat berpengaruh di aktifitasnya .sering sekali nyeri dada sebelah kiri .sering sesak nafas jika anak terlalu lelah .entah yang cuma kelelahan menghafal pelajaran sekolah atau sekedar ngobrol .kenapa ya dok setelah sesak nafas malamnya anak selalu demam dok .sebenarnya anak saya bagaimana keadanannya dok .tapi kita coba pandu untuk mengatur nafasnya dok dan istirahat .
"
12,penyakit-jantung-bawaan,/komunitas/topic/seputar-tetralogi-of-fallot,"1. Mengkonsumsi obat sembarangan, minum minuman keras pada ibu hamil merupakan salah satu faktor yang mengakibatkan kegagalan perkembangan struktur jantung pada janin, kenapa demikian?2.Salah satu gambaran klinik bayi dengan penyakit jantung bawaan adalah sianosis akut saat lahir dan berlanjut sampai usia 1 tahun, kenapa demikian dok?3.Salah satu diagnosa yang mungkin muncul adalah, penurunan curah jantung berhubungan dengan kelainan struktur jantung, tolong penjelasannya dok .
"
13,penyakit-jantung-bawaan,/komunitas/topic/nafas-nggak-plong,"Halo dok,izin bertanya ya, Saya mengalami nafas tersedak sedak sepertinya sejak usia saya 10 tahunan dok, dan sekarang usia saya sudah 30 th,Pd usia saya yg sekarang nafas tersedak saya lebih berat dan menyiksa sekali..Dan juga dok, Punggung saya sakit dan linu yg kadang rasa linu itu berpindah dr kanan ke kiri, bgtu sebaliknya..OH YA !Yang paling saya herankan juga, kenapa setiap saya bangun tidur rasanya pengin ngeluarkan ingus dok, setiap pagi bahkan sampe saya tidur lg ingusnya ada terus namun ingus ini kental ( tidak meler meler ).Sebetulnya saya mengidap penyakit apa yah dok?
"
14,penyakit-jantung-bawaan,/komunitas/topic/pembengkakan-pada-jantung-usia-3-tahun,"Alo dok!,,saya ingin bertanya ,saya mempunyai keponakan memasuki usia 3 tahun dan dia mengidap penyakit pembesaran pada jantung ,bagaimanakah ini bisa terjadi,dan bagaimana cara agar bisa sembuh,juga apa dampak yang akan di timbulkan kedepannya ,apa penyakit ini sangat² berbahaya?
"
15,penyakit-jantung-bawaan,/komunitas/topic/bayi-bernafas-cepat,"Dok, anak saya berumur seminggu dg nafas cepat, yg saya tau katanya anak umur segini bernafas normalnya terhitung 40 s/d 60 x permenit, sedangkan anak saya bisa sampai 70 hampir 80x permenit, tapi kondisi tidak pucat, tidak rewel, nafas tidak berbunyi..Apakah normal atau memang harus mendatangi dokter untuk kepastiannya...Terima kasih~
"
16,penyakit-jantung-bawaan,/komunitas/topic/pfo,"Siang dok ,, sy mw tanya apa sih perbedaannya pada saat jantung mengalami PFO sama ASD
"
17,penyakit-jantung-bawaan,/komunitas/topic/avsd-pada-janin,"Dok mau tanya...saya hamil 31 minggu dan janin saya terkena AVSD ..kira kira apa yang bisa saya lakukan dok?
"
18,penyakit-jantung-bawaan,/komunitas/topic/jantung-bocor395816,"Dok anak saya dari usia 2 bulan sakit batuk kering selama satu bulan kirain batuk biasa ,terus sama saya di periksa ke bidan katanya infeksi paru paru sama ada kelainan detak jantung ,baru perkiraan saja katanya jantung bocor Awalnya ga percaya ,pas saya cek lagi k dokter spesialis anak katanya juga sama kayanya ini ada jantung bocor ,liat diagnosa VSD Saya coba periksa d RS yg aga gedean gitu pas di suruh d rongsen sama d ekg /echo ternyata bener dokSekarang anak saya usianya 7 bulan ,apa bisa dok ga sampe k jalur operasi ??Minta bantuan nya dok ,trimakasih 😇
"
19,penyakit-jantung-bawaan,/komunitas/topic/cara-pengobatan-jantung-bocor-pada-bayi-7-blan,"Mlm dokk,anak saya umur 7 bln jalan sakit ya jantung bocor lubang ya 1.1mm adakah pengobatan yg lain selain dngan oprsi
"
20,penyakit-jantung-bawaan,/komunitas/topic/bayi-yang-terkena-penyakit-jantung-bawaan-apakah-bisa-sembuh--,"Halo dok, bayi Saya terkena pnyakit jantung nya lemah bawaan dri lahir, ketahuan nya ketika usia nya sudah memasuki usia 5 bulan, Ada gak dok cara penanganannya selain operasi dan pemasangan alat keteterisasi jantung, seandainya tidak ada, apa itu tidak beresiko untuk bayi dok? terus ada kemungkinan sembuh total gak dok? Mohon dijawab ya dok, Makasih dok.
"
