,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,category,url,question
1130,1130,2143,2143,gagal-jantung,/komunitas/topic/pembengkakan-jantung-4,",suami saya mengalami pembengkakan jantung ,9 bln terakhir ini dan kita sdhmenjalani ekg,treadmill dll,dah hasilnya ef jantung hnya 13%,yang ingin saya kan apakah suami saya bisa sembuh kembali dan bgmn cara n penapenanganannya,kaki jg membengkak ,mohon  petunjuk nya pengobatan dan perawatannter,"
993,993,868,868,aritmia,/komunitas/topic/jantung-saya-berhenti-4x-saat-tidur-apa-maksudnya,". nama saya farhan, mahasiswa umur 20 tahun. jadi semalam saya tidur , pertengahan saya merasakan sekali jantung berhenti berdegup 4x berturut-turut interval waktu 2 detik. yang saya rasakan itu jantung kejutan memompa tiba-tiba setelah berhenti degup itu jadi saya tidur merasa terkaget-kaget yang aneh. saya belum pernah riwayat jantung namun serangan jantung kecil (seperti terjatuh saat tidur) setiap bulan ada tapi tidak begitu sering, saya rajin olahraga beban dan kardio 4x seminggu. jadi gimana maksudnya sakit saya itu ? saya bangun tidur hingga sekarang masih merasakan nyeri di dada kiri, semalam itu saya tidur +-7jam. .
"
1637,1637,2650,2650,serangan-jantung,/komunitas/topic/nyeri-dada-bagian-kiri,", ,   . saya tadi malam merasakan nyeri di dada sebelah kiri sampai pagi ini tetapi tidak mengalami gangguan lain. biasanya saya suka mengalami gangguan ini tetapi tidak lama langsung sembub sendiri . kalau sekarang agak lama saya merasakan nya .. gangguan yg saya alami apakah berbahaya ? sakitnya itu seperti di tekan/ditusuk .. terimakasih don"
285,285,10,10,penyakit-jantung-bawaan,/komunitas/topic/wajibkah-operasi-jantung-utk-kondisi-skrg-,",. , saya memiliki seorang teman yang memiliki kelainan jantung bawaan. dia pernah mengalami muntah darah 3x dlm 2 hari terakhir. apakah sudah diwajibkian utk operasi,?
"
1134,1134,2147,2147,gagal-jantung,/komunitas/topic/gagal-jantung-dan-pemasangan-ring,". , apakah penyakit gagal jantung bisa mempertahankan stadiumnya? (misal dia sekarang sedang di stadium 2, dia tetap berada di stadium tersebut)
lalu bagi orang yg dipasang ring, berapa lama kemungkinan dia bisa bertahan hidup dengan ring yg dipasang? mohon penjelasannya. "
1504,1504,2517,2517,serangan-jantung,/komunitas/topic/mau-tanya-dok-asam-lambung-atau-jantung-koroner,"5hari yang lalu suami saya mengalami sesak nafas, perutnya tegang smua ,buat bernafas tu bener2 ssh, setiap dia mau batuk,cegukan, di perut bagian tengah nya tu berasa ditusuk gitu . saya priksa k, ka asam lambung. tp saya pelajari lagipenyakit tetang jantung koroner, malah gejala jantung koroner yang banyak dialaminnya, sakit bagian perut kiri bawah, pundak terasa pegal2,demam tinggi pas mengalami dada sesak itu , dan aneh nya, tiap cegukan perut bagian bawah kiri tu berasa di tusuk2. mohon solusin"
349,349,74,74,penyakit-jantung-bawaan,/komunitas/topic/cara-menangani-bayi-yang-menangis,",saya nita punya anak usianya 10 bulan beberapakali ini kalau menangis sampai ga ada suaranya lalu bibir dan mata jadi agak hitam gitu,itu  ? berbahaya ga?
lalu bagaimana cara mengatasinya karna kalau selesai menangis dia seperti yang (entah mengantuk atau mau pingsan gitu ) langsung lemas.
 
"
1335,1335,2348,2348,aritmia,/komunitas/topic/detak-jantung-berdetak-kencang,", detak jantung sayang sering berdetak kencang dan diiringi dengan sesak nafas, dan juga tangan sayang mengejar. ini dalam waktu yang lama, dan terjadi setiap hari, apalagi bila saya sedang berpikir. saya  ?"
142,142,1363,1363,stroke,/komunitas/topic/pertolongan-tersedak,",
 baru saja terkena stroke ringan, salah satu efeknya adalah susah menelan, terkadang batuk2 krn tersedak. sudah ada terapi dan obat dari  rs. tapi apa yg bisa mungkin saya lakukan ketika  batuk2 krn tersedak? mohon bantuannya. terimakasih.
"
767,767,567,567,serangan-jantung,/komunitas/topic/rasa-aneh-di-dada-kiri,"....
saya kadang merasakan rasa aneh nyeri dadaÃ£ÂÃ¢Â  seperti rasa gak enak menjalar dari dada kiri naik ke rahang, muka dan nyeri tembus dada.  ter?
Ã£ÂÃ¢Â 
"
1586,1586,2599,2599,serangan-jantung,/komunitas/topic/sakit-bagian-dada-sebalah-kanan, ..mau konsultasi ...dada bagian kanan saya sering sakit/perih tiba2 dan ketika tarik nafas dan bergerak sedikit sakit nya minta ampun ..satu lagi perut sebelah kanan saya jg sering sakit keram ... penyakit apa yg saya rasakan  .. dan harus bagaimana ...terimakasih
1012,1012,887,887,aritmia,/komunitas/topic/detak-jantung-atau-heart-rate," ..sebenarnya mengukur detak jantung itu pada nadi atau pembuluh darah ?
"
318,318,43,43,penyakit-jantung-bawaan,/komunitas/topic/paten-duktus-arteriosus-2,", mengapaÃ¢Â elainan kromosom seperti sindrom down dan ibu hami dengan umur sekitar 40 an bisa menyebabkan anaknya lahir dengan penyakit jantung bawaan yaitu duktus arteriosus paten?terimakasih 
"
1697,1697,2710,2710,serangan-jantung,/komunitas/topic/nyeri-pada-dada-sebelah-kiri," ingin  mengenai rasa nyeri pada dada sebelah kiri, nyerinya tidak setiap saat datang hanya sekali-sekali saja dan berlangsung tidak terlalu lama sekitar 30-90 detik saja tapi nyerinya bikin sesak rasanya badan seperti terkancing kayak tidak bisa bergerak...
kira-kira itu sebuah gejala penyakit? atau apalah...?
mohon penjelasann..."
1557,1557,2570,2570,serangan-jantung,/komunitas/topic/nyeri-dada-kiri-3-hari,", saya perempuan 16 th. saya sudah 3 hari mengalami nyeri dada sebelah kiri. hari pertama dan kedua rasanya seperti nyeri, terutama ketika membuang nafas,teriak. tidak lemes dan tidak pusing hanya nyeri saja. sudah pake koyo/balsem dan dibawa istirahat nyerinya hilang tapi kemudian muncul lagi. hari ketiga pagi sudah tidak nyeri, namun siang hari nyeri nya seperti di tusuk2. tetep pada dada kiri. itu gejala apa ? bagaimana cara menanganinya"
917,917,792,792,gagal-jantung,/komunitas/topic/ujung-jari-dipencet-dekok-lama-kembali,"hai ,
, usia  61
 ya ujung jari beliau(bagian belakang kuku) jika dipencet dekok dan lama kembali ?
mohon dijawab
makasih  ,,.
"
1715,1715,2728,2728,serangan-jantung,/komunitas/topic/hubungan-antara-dm-dan-hipertensi," , ortu saya ada penyakit hipertensi dan di kasih obat diovan 80mg dan amplodipine yang 5mg ,tpi kok masih tinggi aja ya 150 /90yang saya binggung 1 kali sehari 2 tablet apa maksudnya ya dan untuk diabetesnya walau sudah pakai insulin  masih tinggi dan kadang ortu saya suka sakit di dadanya tepatnya di jantung itu knp ya .."
1302,1302,2315,2315,aritmia,/komunitas/topic/disritmia-dan-aritmia,", apa perbedaan disritmia dan aritmia? dan apa penyebabnya?
mohon dijelaskan. terimakasih"
1030,1030,905,905,aritmia,/komunitas/topic/rasa-cemas-kram-otot,",2 bulan lalu saya mengalami kram otot dada dibawah tulang rusuk.oleh dr syaraf diminta utk rontgen dan ekg. hasilnya jantung normal.tetapi bbrp hari ini ada perasaan cemas dan jantung berdebar sehingga dibagian dada dan otot dibawah rusuk terasa tidak nyaman.seperti apa ya penanganann?.
"
599,599,399,399,gagal-jantung,/komunitas/topic/mengatasi-badan-bengkak," ,  konsultasi mengenai  usia (52th ) yg seminggu ini badannya bengkak, sebelum2nya tidak pernah seperti itu meskipun berat badannya naik. yg saya tau  sering mengkonsumsi jamu yg di jual orang sekitar rmh , tp yg saya curigai jamu itu warna hitam dan di kemas dibotol kemasan dan tanpa ada tulisan nama jamu. yg  kan, apakah bengkak tersebut karna jamu yg sering dikonsumsi? dan bagaimana mengobati bengkak, sebelum saya bawa ke rumah sakit? apakah dg minum air putih bisa membantu meredahkan bengkaknya? terimakasih tas perhatiann
"
561,561,361,361,gagal-jantung,/komunitas/topic/nafas-berat--susah-tidur-di-malam-hari-dan-mual-mual,".
 beri, bapak saya sudah berumur hampir 60 tahun, dia sering mengalami susah tidur pada malam hari, setiap kali berbaring, dia merasa nafas yang berat. apa yang harus saya lakukan supaya dia bisa tidur kembali di malam hari dengan tenang??
dan juga akhir akhir ini dia sering mual mual.
Ã¢Â 
mohon bantuannya para  untuk membantu saya.
terimakasih banyak
Ã¢Â 
 sk
"
1005,1005,880,880,aritmia,/komunitas/topic/kenapa-ketika-berdiri-lama-lalu-langsung-duduk-jantung-tiba-tiba-berdebar-kencang,", sayaÃ¢Â umur 14thn.
setiap saya berdiri lama lalu langsung duduk jantung saya tuh berdegupnya itu lebih cepat dan terasa degupannya. contohnya ketika hari senin, saat upacara itu biasanya 40-60 menit, dan kalau di sekolah saya biasanya kalau setelah upacara itu suka ada pengumuman dulu, dan stelah upacara langsung disuruh duduk di lapangan. saya kan berdiri lama sekali tuh ya, nah, ketika saya duduk, jantung saya suka ""deg deg deg deg deg deg,"" lebih cepat dan terasa gitu degupannya wlau dada saya tidk saya pegang. trus karena kadang suka panik ya... saya berdiri lagi karena takut  .
peristiwa sprti ini udah terjadi dari saya masih di sekolah dasar.
"
1772,1772,2785,2785,serangan-jantung,/komunitas/topic/dada-sakit-3,", selamat mlm 
<p style=""text-align: left;"">selalu saja, tiba-tiba dada sebelah kiri sakit seperti tertekan dan bahu 'pundak ,lengan pun ikut pegal dan linu.. gejala seperti ini  ? mohon dibantu untuk peran nya ..  banyak </p>"
1515,1515,2528,2528,serangan-jantung,/komunitas/topic/apa-penanganan-pertama-untuk-angin-duduk,", apa kira kira penangan pertama saat ada orang yang terkena angin duduk, karena setau saya mereka hanya punya waktu 15 - 30 menit untuk bertahan, obat apa yg harus segera di konsumsi?"
